geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
USGS-15056070	59.2971728	59.2971728	-135.333496	-135.333496
USGS-15056095	59.5266173	59.5266173	-135.1790528	-135.1790528
USGS-15056100	59.4658333	59.4658333	-135.3041667	-135.3041667
USGS-15056200	59.5260629	59.5260629	-135.3546086	-135.3546086
USGS-15056210	59.5116183	59.5116183	-135.3462752	-135.3462752
USGS-15057580	58.4432745	58.4432745	-135.6020974	-135.6020974
USGS-15057596	58.4446573	58.4446573	-135.7418302	-135.7418302
USGS-15087690	57.0665825	57.0665825	-135.2967628	-135.2967628
USGS-15087700	57.0529712	57.0529712	-135.3162085	-135.3162085
USGS-15087730	57.053249	57.053249	-135.3195419	-135.3195419
USGS-15087735	57.0510267	57.0510267	-135.3214865	-135.3214865
USGS-15129000	59.3947119	59.3947119	-138.083688	-138.083688
USGS-15129120	59.1928056	59.1928056	-138.3339167	-138.3339167
USGS-15209700	61.4337266	61.4337266	-142.9426256	-142.9426256

